id,mode,value,value-mode
892,,232:17:0,paint
893,,232:17:0,paint
894,,232:17:0,paint
895,,232:17:0,paint
896,,232:17:0,paint
897,,232:17:0,paint
898,,232:17:0,paint
899,,232:17:0,paint
900,,232:17:0,paint
901,,232:17:0,paint
902,,232:17:0,paint
903,,232:17:0,paint
904,,232:17:0,paint
905,,232:17:0,paint
906,,232:17:0,paint
907,,232:17:0,paint
908,,232:17:0,paint
909,,232:17:0,paint
910,,232:17:0,paint
911,,232:17:0,paint
912,,232:17:0,paint
913,,232:17:0,paint
914,,232:17:0,paint
915,,232:17:0,paint
916,,232:17:0,paint
917,,232:17:0,paint
918,,232:17:0,paint
919,,232:17:0,paint
920,,232:17:0,paint
921,,232:17:0,paint
922,,232:17:0,paint
923,,232:17:0,paint
924,,232:17:0,paint
925,,232:17:0,paint
926,,232:17:0,paint
927,,232:17:0,paint
928,,232:17:0,paint
929,,232:17:0,paint
930,,232:17:0,paint
931,,2:68,nib
932,,2:68,nib
933,,2:68,nib
934,,2:68,nib
935,,2:68,nib
936,,2:68,nib
937,,2:68,nib
938,,2:64,nib
939,,2:64,nib
940,,2:64,nib
941,,2:64,nib
942,,2:64,nib
943,,2:64,nib
944,,2:64,nib
945,,2:61,nib
946,,2:59,nib
947,,2:59,nib
948,,2:59,nib
949,,2:59,nib
950,,2:59,nib
951,,2:59,nib
952,,2:56,nib
953,,2:52,nib
954,,2:52,nib
955,,2:52,nib
956,,2:52,nib
957,,2:52,nib
958,,2:52,nib
959,,2:49,nib
960,,2:45,nib
961,,2:45,nib
962,,2:45,nib
963,,2:45,nib
964,,2:45,nib
965,,2:45,nib
966,,2:41,nib
967,,2:38,nib
968,,2:38,nib
969,,2:38,nib
970,,2:38,nib
971,,2:38,nib
972,,2:38,nib
973,,2:36,nib
974,,2:36,nib
975,,2:33,nib
976,,2:33,nib
977,,2:33,nib
978,,2:33,nib
979,,2:33,nib
980,,2:33,nib
981,,2:31,nib
982,,2:29,nib
983,,2:29,nib
984,,2:29,nib
985,,2:29,nib
986,,2:29,nib
987,,2:29,nib
988,,2:27,nib
989,,2:27,nib
990,,2:27,nib
991,,2:27,nib
992,,2:27,nib
993,,2:27,nib
994,,2:27,nib
995,,2:27,nib
996,,2:27,nib
997,,2:27,nib
998,,2:27,nib
999,,2:27,nib
1000,,2:27,nib
1001,,2:27,nib
1002,,2:27,nib
1003,,2:27,nib
1004,,2:27,nib
1005,,2:27,nib
1006,,2:27,nib
1007,,2:27,nib
1008,,2:27,nib
1009,,2:27,nib
1010,,2:27,nib
1011,,2:27,nib
1012,,2:27,nib
1013,,2:27,nib
1014,,2:27,nib
1015,,2:27,nib
1016,,2:27,nib
1017,,2:27,nib
1018,,2:27,nib
1019,,2:27,nib
1020,,2:27,nib
1021,,2:27,nib
1022,,2:27,nib
1023,,2:27,nib
1024,,2:27,nib
1025,,2:27,nib
1026,,2:27,nib
1027,,2:27,nib
1028,,2:27,nib
1029,,2:27,nib
1030,,2:27,nib
1031,,2:27,nib
1032,,2:27,nib
1033,,2:27,nib
1034,,2:27,nib
1035,,2:27,nib
1036,,2:27,nib
1037,,2:27,nib
1038,,2:27,nib
1039,,2:27,nib
1040,,2:27,nib
1041,,2:27,nib
1042,,2:27,nib
1043,,2:27,nib
1044,,2:27,nib
1045,,2:27,nib
1046,,2:27,nib
1047,,2:27,nib
1048,,2:27,nib
1049,,2:27,nib
1050,,2:27,nib
1051,,2:27,nib
1052,,2:27,nib
1053,,2:27,nib
1054,,2:27,nib
1055,,2:27,nib
1056,,2:27,nib
1057,,2:27,nib
1058,,2:27,nib
1059,,2:27,nib
1060,,2:27,nib
1061,,2:27,nib
1062,,2:27,nib
1063,,2:27,nib
1064,,2:27,nib
1065,,2:27,nib
1066,,2:27,nib
1067,,2:27,nib
1068,,2:27,nib
1069,,2:27,nib
1070,,2:27,nib
1071,,2:27,nib
1072,,2:27,nib
1073,,2:27,nib
1074,,2:27,nib
1075,,2:27,nib
1076,,2:27,nib
1077,,2:27,nib
1078,,2:27,nib
1079,,2:27,nib
1080,,2:27,nib
1081,,2:27,nib
1082,,2:27,nib
1083,,2:27,nib
1084,,2:27,nib
1085,,2:27,nib
1086,,2:27,nib
1087,,2:27,nib
1088,,2:27,nib
1089,,2:27,nib
1090,,2:27,nib
1091,,2:27,nib
1092,,2:27,nib
1093,,2:27,nib
1094,,2:27,nib
1095,,2:27,nib
1096,,2:27,nib
1097,,2:27,nib
1098,,2:27,nib
1099,,2:27,nib
1100,,2:27,nib
1101,,2:27,nib
1102,,2:27,nib
1103,,2:27,nib
1104,,2:27,nib
1105,,2:27,nib
1106,,2:27,nib
1107,,2:27,nib
1108,,2:27,nib
1109,,2:27,nib
1110,,2:27,nib
1111,,2:27,nib
1112,,2:27,nib
1113,,2:27,nib
1114,,2:27,nib
1115,,2:27,nib
1116,,2:27,nib
1117,,2:27,nib
1118,,2:27,nib
1119,,2:27,nib
1120,,2:27,nib
1121,,2:27,nib
1122,,2:27,nib
1123,,2:27,nib
1124,,2:27,nib
1125,,2:27,nib
1126,,2:27,nib
1127,,2:27,nib
1128,,2:27,nib
1129,,2:27,nib
1130,,2:27,nib
1131,,2:27,nib
1132,,2:27,nib
1133,,2:27,nib
1134,,2:27,nib
1135,,2:27,nib
1136,,2:27,nib
1137,,2:27,nib
1138,,2:27,nib
1139,,2:27,nib
1140,,2:27,nib
1141,,2:27,nib
1142,,2:27,nib
1143,,2:27,nib
1144,,2:27,nib
1145,,2:27,nib
1146,,2:27,nib
1147,,2:27,nib
1148,,2:27,nib
1149,,2:27,nib
1150,,2:27,nib
1151,,2:27,nib
1152,,2:27,nib
1153,,2:27,nib
1154,,2:27,nib
1155,,2:27,nib
1156,,2:27,nib
1157,,2:27,nib
1158,,2:27,nib
1159,,2:27,nib
1160,,2:27,nib
1161,,2:27,nib
1162,,2:27,nib
1163,,2:27,nib
1164,,2:27,nib
1165,,2:27,nib
1166,,2:27,nib
1167,,2:27,nib
1168,,2:27,nib
1169,,2:27,nib
1170,,2:27,nib
1171,,2:27,nib
1172,,2:27,nib
1173,,2:27,nib
1174,,2:27,nib
1175,,2:27,nib
1176,,2:27,nib
1177,,2:27,nib
1178,,2:27,nib
1179,,2:27,nib
1180,,2:27,nib
1181,,2:27,nib
1182,,2:27,nib
1183,,2:27,nib
1184,,2:27,nib
1185,,2:27,nib
1186,,2:27,nib
1187,,2:27,nib
